============================================================
SENDSPIN DEBUG LOG
============================================================

--- DEVICE INFO ---
App Version: 1.0.11 (11)
Device: nubia NX809J
Android: 16 (API 36)
Build: REDMAGICOS11.0.14MR3_GB

--- SESSION INFO ---
Server: Music Assistant
Address: Music Assistant
Session Start: 2026-01-13 08:33:49
Log Generated: 2026-01-13 08:35:07
Duration: 1:18
Samples: 71

--- STATS SUMMARY ---
Sync Error (us): avg=-66407, min=-252457, max=20581
Total Chunks: received=3123, played=2911, dropped=0
Frame Corrections: inserted=47282, dropped=3567
Gaps Filled: 0 (0ms)
Overlaps Trimmed: 0 (0ms)

--- TIME SERIES DATA ---
Columns: RelativeTime(ms), PlaybackState, SyncError(us), QueuedSamples, ClockOffset(us), ClockError(us), InsertN, DropN, FramesIns, FramesDrop, ChunksDrop
49056,PLAYING,1359,253200,943657645684,4692,0,679,47282,1640,0
50057,PLAYING,-2616,255600,943657645714,3124,0,0,47282,1668,0
51065,PLAYING,10185,255600,943657643617,3924,0,777,47282,1676,0
52066,PLAYING,3391,255600,943657645891,3354,0,513,47282,1772,0
53066,PLAYING,12774,255600,943657645648,2990,0,441,47282,1869,0
54066,PLAYING,5270,255600,943657646284,3784,0,355,47282,2003,0
55067,PLAYING,484,254400,943657642685,6236,0,473,47282,2128,0
56068,PLAYING,487,254400,943657645428,2051,0,696,47282,2226,0
57068,PLAYING,4654,254400,943657644824,2520,0,0,47282,2254,0
58069,PLAYING,4776,254400,943657644918,2665,0,0,47282,2254,0
60069,PLAYING,1208,254400,943657645472,2857,0,0,47282,2254,0
61069,PLAYING,1408,254400,943657645204,2639,0,0,47282,2254,0
62069,PLAYING,1520,254400,943657645142,2978,0,0,47282,2254,0
63083,PLAYING,11499,254400,943657645173,2575,0,440,47282,2280,0
64083,PLAYING,7354,254400,943657646820,4248,0,273,47282,2436,0
65083,PLAYING,11705,254400,943657644993,2254,0,306,47282,2598,0
66083,PLAYING,7668,254400,943657645372,2855,0,302,47282,2760,0
67084,PLAYING,564,253200,943657645012,2386,0,435,47282,2901,0
68084,PLAYING,354,253200,943657645087,2550,0,826,47282,2995,0
69084,PLAYING,9687,254400,943657645148,2526,0,0,47282,3007,0
70085,PLAYING,2474,253200,943657645610,4409,0,433,47282,3088,0
71085,PLAYING,9894,254400,943657647281,4574,0,435,47282,3193,0
72085,PLAYING,-1501,254400,943657645953,3237,0,641,47282,3292,0
73086,PLAYING,1402,253200,943657644702,2321,0,814,47282,3358,0
74088,PLAYING,1476,253200,943657644473,3188,0,0,47282,3391,0
75088,PLAYING,2261,253200,943657646055,3799,0,0,47282,3410,0
76089,PLAYING,-2348,253200,943657644833,2855,0,0,47282,3410,0
77090,PLAYING,15040,254400,943657645434,2906,0,545,47282,3431,0
78091,PLAYING,11282,253200,943657646857,4334,0,277,47282,3567,0

--- END OF LOG ---
