============================================================
SENDSPIN DEBUG LOG
============================================================

--- DEVICE INFO ---
App Version: 1.0.11 (11)
Device: nubia NX809J
Android: 16 (API 36)
Build: REDMAGICOS11.0.14MR3_GB

--- SESSION INFO ---
Server: Music Assistant
Address: Music Assistant
Session Start: 2026-01-13 08:33:49
Log Generated: 2026-01-13 08:35:07
Duration: 1:18
Samples: 71

--- STATS SUMMARY ---
Sync Error (us): avg=-66407, min=-252457, max=20581
Total Chunks: received=3123, played=2911, dropped=0
Frame Corrections: inserted=47282, dropped=3567
Gaps Filled: 0 (0ms)
Overlaps Trimmed: 0 (0ms)

--- TIME SERIES DATA ---
Columns: RelativeTime(ms), PlaybackState, SyncError(us), QueuedSamples, ClockOffset(us), ClockError(us), InsertN, DropN, FramesIns, FramesDrop, ChunksDrop

5001,WAITING_FOR_START,0,228000,943657645648,3823,0,0,0,0,0
6002,PLAYING,-240545,231600,943657644245,3231,25,0,743,0,0
7003,PLAYING,-243406,231600,943657645618,3163,25,0,2663,0,0
8004,PLAYING,-246459,231600,943657645645,2855,25,0,4583,0,0
9004,PLAYING,-238812,231600,943657644870,2309,25,0,6503,0,0
10006,PLAYING,-243469,231600,943657644119,3119,25,0,8423,0,0
11006,PLAYING,-244229,231600,943657645784,3046,25,0,10343,0,0
12006,PLAYING,-237926,231600,943657644916,2450,25,0,12263,0,0
13007,PLAYING,-237670,231600,943657645205,2910,25,0,14183,0,0
14007,PLAYING,-233258,231600,943657641466,5923,25,0,16103,0,0
15008,PLAYING,-237807,231600,943657645064,2636,25,0,18023,0,0
16009,PLAYING,-244575,230400,943657644734,3758,25,0,19991,0,0
17009,PLAYING,-233983,231600,943657645342,2948,25,0,21863,0,0
18009,PLAYING,-238762,231600,943657645203,2798,25,0,23783,0,0
19009,PLAYING,-244800,231600,943657645028,4049,25,0,25703,0,0
20009,PLAYING,-236309,231600,943657644991,2875,25,0,27623,0,0
21009,PLAYING,-252457,231600,943657645564,2864,25,0,29543,0,0
22015,PLAYING,-240222,231600,943657644912,2637,25,0,31463,0,0
24015,PLAYING,-239400,230400,943657646960,4440,25,0,35346,0,0
25016,PLAYING,-201627,231600,943657644878,4027,25,0,37193,0,0
26016,PLAYING,-163128,234000,943657645266,2640,25,0,39039,0,0
27016,PLAYING,-128702,235200,943657645268,2622,25,0,40885,0,0
28016,PLAYING,-88673,237600,943657645231,2137,25,0,42731,0,0
29017,PLAYING,-42990,240000,943657644908,2422,25,0,44562,0,0
30018,PLAYING,-6201,241200,943657644870,2615,37,0,46206,0,0
31019,PLAYING,9357,241200,943657645006,2432,94,0,47048,0,0
32019,PLAYING,13493,242400,943657645037,2381,0,0,47282,0,0
33020,PLAYING,20581,242400,943657644820,2559,0,228,47282,107,0
34020,PLAYING,8607,241200,943657645030,2593,0,182,47282,365,0
35020,PLAYING,12199,241200,943657645289,3561,0,210,47282,607,0
36020,PLAYING,3564,241200,943657645710,2418,0,277,47282,812,0
37021,PLAYING,-438,241200,943657645258,3048,0,485,47282,952,0
38021,PLAYING,4467,241200,943657645202,2618,0,0,47282,1014,0
39022,PLAYING,-715,241200,943657645241,2583,0,0,47282,1014,0
40039,PLAYING,-683,240000,943657644960,2557,0,0,47282,1014,0
41040,PLAYING,-668,240000,943657642758,4741,0,0,47282,1014,0
42040,PLAYING,3289,240000,943657644549,3785,0,0,47282,1014,0
43040,PLAYING,9982,240000,943657642700,4752,0,0,47282,1014,0
44041,PLAYING,11808,240000,943657646246,4028,0,404,47282,1066,0
45056,PLAYING,12352,244800,943657644378,4409,0,298,47282,1216,0
46057,PLAYING,1557,248400,943657645898,3637,0,399,47282,1353,0
47057,PLAYING,8043,248400,943657644843,2616,0,477,47282,1456,0
